web-scraper-order,web-scraper-start-url,titoli,link,link-href,descr,autor,date,skill
"1611343879-3432","https://www.udemy.com/courses/it-and-software/?lang=it&p=5&sort=newest","","Adobe Premiere Pro CC (2020-2021): da principiante a espertoUn cammino di apprendimento delle tecniche di montaggio video professionale.Overlook Art, Massimiliano ZeuliValutazione: 4,3 su 54,3(5)12,5 ore totali89 lezioniTutti i livelliPrezzo attuale149,99 €","https://www.udemy.com/course/adobe-premiere-pro-cc-2020-da-principiante-ad-esperto/","","Massimiliano Zeuli","Ultimo aggiornamento 1/2021",""
"1611343372-3220","https://www.udemy.com/courses/it-and-software/?lang=it&p=8&sort=newest","Sistemistica per Sysadmin e Pentester Microsoft & More LVL2","","","","","null",""
"1611343465-3259","https://www.udemy.com/courses/it-and-software/?lang=it&p=8&sort=newest","","Teams - Corso rapidoIniziare subito a lavorare con Microsoft TeamsFranco IacovelliValutazione: 4,6 su 54,6(123)1 ora totale6 lezioniPrincipiantePrezzo attuale19,99 €","https://www.udemy.com/course/teams-rapido/","","","Ultimo aggiornamento 3/2020","Cosa impareraiIniziare ad usare Microsoft Teams per lo smart working"
"1611344503-3677","https://www.udemy.com/courses/it-and-software/?lang=it&p=1&sort=newest","SQL Server per principianti (6 ore di lezione)","","","","","null",""
"1611343534-3292","https://www.udemy.com/courses/it-and-software/?lang=it&p=7&sort=newest","Impara Blender 2.8 dalla modellazione al rendering","","","","","null",""
"1611342890-3009","https://www.udemy.com/courses/it-and-software/?lang=it&p=12&sort=newest","","RESUSCITA IL TUO COMPUTER CON PPP PC POWER PRO 2021Recupera I Tuoi Dati, Velocizza & Rigenera Il Tuo Computer  + BONUS: Perché Linux & Windows Insieme? Scopri La Potenza..VideoRipetizioni | Leonardo Ok ™Valutazione: 4,1 su 54,1(69)4,5 ore totali32 lezioniTutti i livelliPrezzo attuale129,99 €","https://www.udemy.com/course/pc-power-pro-ppp-pcpowerpro-come-recuperare-pc-dato-per-morto-videorip/","","","Ultimo aggiornamento 10/2020","Cosa impareraiSarai in grado di Resuscitare un PC dato per Morto (sia Windows che Linux) ...Scoprirai i Segreti su come recuperare Dati importanti da un computer dato per perso... (Foto, Video, Documenti, etc.)BONUS: Sarai in grado di installare LINUX e WINDOWS insieme, in Dual Boot, su qualsiasi Computer (Portatile o Fisso)...Sarai In grado di Reinstallare, da Zero, Windows 10 sul tuo PC (va bene anche per Windows Vista, 7, 8, 8.1 e XP)...Sarai in grado di smontare un PC, e se necessario, recuperare i suoi dati, passo passo.Potrai formattare un PC ormai lentissimo e riportarlo a nuova vita, come quando era nuovo, senza perdere i tuoi dati...Potrai risparmiare centinaia di € di assistenza tecnica facendo questo lavoro per conto tuo...Potrai riprenderti ""pezzi di vita"" altrimenti andati perduti in quel maledetto computer che dava solo problemi...Sarai In Grado Di Creare Un Autoinstallante (Autorun) per Windows 10 su Chiavetta USB...Sarai In Grado Di Installare, se lo vorrai, anche Linux insieme a Windows...Sarai In Grado di Scegliere, Scaricare Gratis e Installare, quale Distribuzione Linux fa al caso tuo...Mostra di piùMostra meno"
"1611344140-3528","https://www.udemy.com/courses/it-and-software/?lang=it&p=4&sort=newest","","Preparazione Esame Informatica GeneralePython ed SQLCiro FuccioValutazione: 4,8 su 54,8(6)8 ore totali39 lezioniPrincipiantePrezzo attuale109,99 €","https://www.udemy.com/course/preparazione-esame-informatica-generale/","","Ciro Fuccio","Ultimo aggiornamento 1/2021",""
"1611343051-3074","https://www.udemy.com/courses/it-and-software/?lang=it&p=11&sort=newest","","Creare un software gestionale basato sul web con PHPImpara a creare softwares gestionali interamente basati sul web con PHP, una skill indispensabile per questo 2019.Raymond RoseValutazione: 3,7 su 53,7(27)2 ore totali11 lezioniPrincipiantePrezzo attuale19,99 €","https://www.udemy.com/course/creare-un-software-gestionale-basato-sul-web-con-php/","","","Ultimo aggiornamento 4/2019","Cosa impareraiCreare un software gestionale in PHPDesign della pagina con Skeleton CSSGestione del databaseBasi di MySQLDeploy su Shared HostingGestione snella dei file durante lo sviluppo"
"1611342631-2905","https://www.udemy.com/courses/it-and-software/?lang=it&p=13&sort=newest","Impara Linux: dalle basi alla certificazione LPI - Exam 101","","","","","null",""
"1611343184-3141","https://www.udemy.com/courses/it-and-software/?lang=it&p=10&sort=newest","","Da Zero al punto luce con lo Standard KNXUn mini-corso che mira principalmente alla praticità...Davide GrandeppienoValutazione: 4,4 su 54,4(8)5 ore totali10 lezioniIntermedioPrezzo attuale159,99 €","https://www.udemy.com/course/crea-un-punto-luce-con-lo-standard-knx/","","","Ultimo aggiornamento 8/2019","Cosa impareraiLo Standard KNXPanoramica sul Software ETS5La sezione Edifici in ETS5Importare librerie dei prodotti in ETS5Parametrizzare un dispositivo KNXCreazione Indirizzi di Gruppo KNXAssociazione Indirizzi di Gruppo KNX con i vari dispositiviCollegare i dispositivi KNX a cavo Bus KonnexDifferenze tra sistema proprietario e sistema aperto"
"1611342654-2919","https://www.udemy.com/courses/it-and-software/?lang=it&p=13&sort=newest","","Ubuntu 17.10 Desktop - installazione e utilizzo di LinuxIn questo corso avrai la possibilità di scoprire Ubuntu, Come installarlo e come utilizzarlo al meglioSascha DonelasciValutazione: 4,2 su 54,2(8)2,5 ore totali30 lezioniTutti i livelliPrezzo attuale19,99 €","https://www.udemy.com/course/ubuntu-17-10-desktop-installazione-e-utilizzo-del-os-linux/","DescrizioneATTENZIONE: UBUNTU 17.10 NON E' L'ULTIMA VERSIONE DI UBUNTU ESSENDO IL CORSO DI 2 ANNI FA, RIMANE IL FATTO PERO CHE L'INSTALLAZIONE NON HA SUBITO GROSSE VARIAZIONI E QUINDI RIMANE TUTTORA VALIDO E FUNZIONANTE.
Il corso contiene una guida completa per imparare ad utilizzare e ad installare Ubuntu Desktop (Versione 17.10) inoltre verranno mostrate come configurare i computer al meglio e come sfruttare al meglio le sue caratteristiche Open Source. inoltre parleremo dei suoi vantaggi e di quali software possono sostituire quelli che solitamente usate sul Mac o su Computer Windows in modo tale da non rimanere sprovvisti di nessun software che necessitate privatamente o a scopo lavorativo. Ovviamente sono sempre disponibile in caso avete bisogno di aiuto. A chi è rivolto questo corso:Chiunque desideri imparare le basi di UbuntuChiunque desideri imparare a installare sistemi operativi come ubuntu o derivatiChiunque desideri conoscere applicativi differenti o uguali a quelli che conosciamo per linuxMostra di piùMostra meno","","Ultimo aggiornamento 3/2018",""
"1611342631-2912","https://www.udemy.com/courses/it-and-software/?lang=it&p=13&sort=newest","Come creare la tua criptovaluta token su blockchain Ethereum","","","","","null",""
"1611343714-3343","https://www.udemy.com/courses/it-and-software/?lang=it&p=6&sort=newest","Da Zero a Programmatore in Python","","","","","null",""
"1611342858-2998","https://www.udemy.com/courses/it-and-software/?lang=it&p=12&sort=newest","","Come creare e montare video con Camtasia Studio.Impara Camtasia Studio dalla A alla Z. Diventa un guru della Camtasia e crea il tuo video perfetto!Igor KissiValutazione: 4,4 su 54,4(5)8 ore totali44 lezioniPrincipiantePrezzo attuale29,99 €","https://www.udemy.com/course/creare-e-modificare-video-con-camtasia-studio/","","Igor Kissi","Ultimo aggiornamento 9/2018",""
"1611343211-3163","https://www.udemy.com/courses/it-and-software/?lang=it&p=9&sort=newest","Corso Excel 2016","","","","","null",""
"1611344514-3681","https://www.udemy.com/courses/it-and-software/?lang=it&p=1&sort=newest","","SAP SD SuperuserLivello avanzato per utente operativo, corso per un utilizzo avanzato del modulo SAP SDGrazia Masulli1,5 ore totali11 lezioniEspertoPrezzo attuale119,99 €Nuovo","https://www.udemy.com/course/sap-sd-superuser-corso-sap-livello-avanzato/","","Grazia Masulli","Ultimo aggiornamento 1/2021",""
"1611343289-3188","https://www.udemy.com/courses/it-and-software/?lang=it&p=9&sort=newest","","Impara ad utilizzare Bootstrap 4 per sviluppare un sito webUna descrizione completa del framework HTML più usato al mondo.Manuel PiciValutazione: 4,4 su 54,4(49)2,5 ore totali17 lezioniPrincipiantePrezzo attuale19,99 €","https://www.udemy.com/course/impara-ad-utilizzare-bootstrap-4-per-sviluppare-un-sito-web/","","","Ultimo aggiornamento 10/2019","Cosa impareraiOrientarti nel sito di riferimento di Bootstrap versione 4Realizzare pagine web realmente responsive usando  il ""Grid System"" di Bootstrap in 5 minutiUtilizzare tutti i componenti messi a disposizione da BootstrapRealizzare una pagina web completa di riferimenti alle librerie del framework"
